Employee ID,Department,JobRole,JobLevel,Working Years,MonthlyIncome,Exit Risk,Replacement Cost,Risk,Cost
762,Research & Development,Research Scientist,1,3,"$2,042 ",MEDIUM,"$7,168 ",50.70%,7168
1436,Sales,Sales Representative,1,2,"$2,380 ",MEDIUM,"$8,520 ",50.70%,8520
513,Research & Development,Research Scientist,1,1,"$1,009 ",MEDIUM,"$3,036 ",50.70%,3036
914,Research & Development,Healthcare Representative,4,33,"$13,577 ",MEDIUM,"$50,308 ",50.70%,50308
1255,Sales,Sales Executive,3,0,"$8,564 ",MEDIUM,"$31,256 ",50.70%,31256
1168,Research & Development,Research Scientist,1,6,"$3,760 ",MEDIUM,"$14,040 ",50.70%,14040
798,Research & Development,Research Scientist,1,2,"$2,313 ",MEDIUM,"$8,252 ",50.70%,8252
1171,Research & Development,Laboratory Technician,1,4,"$2,166 ",MEDIUM,"$7,664 ",50.70%,7664
1136,Research & Development,Laboratory Technician,1,1,"$2,408 ",LOW,"$8,632 ",50.60%,8632
660,Research & Development,Laboratory Technician,1,1,"$2,380 ",LOW,"$8,520 ",50.60%,8520
658,Research & Development,Research Scientist,1,8,"$2,559 ",LOW,"$9,236 ",50.60%,9236
0,Sales,Sales Executive,2,6,"$5,993 ",LOW,"$21,972 ",50.60%,21972
51,Research & Development,Laboratory Technician,1,2,"$3,441 ",LOW,"$12,764 ",50.60%,12764
1297,Human Resources,Human Resources,1,5,"$2,148 ",LOW,"$7,592 ",50.60%,7592
126,Research & Development,Healthcare Representative,3,40,"$10,312 ",LOW,"$38,248 ",50.60%,38248
1326,Sales,Sales Executive,2,2,"$9,907 ",LOW,"$37,628 ",50.60%,37628
1313,Human Resources,Human Resources,1,2,"$2,335 ",LOW,"$8,340 ",50.60%,8340
776,Sales,Sales Representative,1,2,"$2,323 ",LOW,"$8,292 ",50.60%,8292
1032,Research & Development,Laboratory Technician,1,1,"$3,646 ",LOW,"$13,584 ",50.60%,13584
1110,Research & Development,Laboratory Technician,1,1,"$2,074 ",LOW,"$7,296 ",50.60%,7296
1435,Research & Development,Research Scientist,1,4,"$2,436 ",LOW,"$8,744 ",50.60%,8744
559,Research & Development,Research Scientist,1,1,"$3,057 ",LOW,"$11,228 ",50.60%,11228
589,Research & Development,Laboratory Technician,1,1,"$2,319 ",LOW,"$8,276 ",50.60%,8276
1036,Research & Development,Laboratory Technician,1,2,"$3,722 ",LOW,"$13,888 ",50.60%,13888
921,Research & Development,Laboratory Technician,1,4,"$2,154 ",LOW,"$7,616 ",50.60%,7616
966,Research & Development,Manufacturing Director,3,10,"$10,008 ",LOW,"$37,032 ",50.60%,37032
286,Research & Development,Laboratory Technician,1,1,"$3,161 ",LOW,"$11,644 ",50.60%,11644
720,Research & Development,Research Scientist,1,5,"$2,132 ",LOW,"$7,528 ",50.60%,7528
19,Research & Development,Research Scientist,1,3,"$3,944 ",LOW,"$14,776 ",50.60%,14776
1395,Sales,Sales Executive,2,10,"$5,617 ",LOW,"$20,468 ",50.50%,20468
747,Sales,Sales Executive,2,1,"$6,861 ",LOW,"$25,444 ",50.50%,25444
997,Research & Development,Research Scientist,1,8,"$2,394 ",LOW,"$8,576 ",50.50%,8576
815,Research & Development,Research Scientist,1,2,"$2,070 ",LOW,"$7,280 ",50.50%,7280
909,Research & Development,Research Scientist,1,1,"$2,994 ",LOW,"$10,976 ",50.50%,10976
182,Sales,Sales Representative,1,4,"$3,140 ",LOW,"$11,560 ",50.50%,11560
1442,Research & Development,Research Scientist,1,2,"$4,787 ",LOW,"$18,148 ",50.50%,18148
665,Sales,Sales Representative,1,3,"$3,294 ",LOW,"$12,176 ",50.50%,12176
1167,Sales,Sales Executive,2,2,"$5,440 ",LOW,"$19,760 ",50.50%,19760
100,Human Resources,Human Resources,1,3,"$2,073 ",LOW,"$7,292 ",50.50%,7292
547,Research & Development,Research Scientist,1,2,"$2,759 ",LOW,"$10,036 ",50.50%,10036
645,Sales,Sales Representative,1,3,"$2,800 ",LOW,"$10,200 ",50.50%,10200
124,Sales,Sales Executive,2,7,"$6,172 ",LOW,"$22,688 ",50.50%,22688
709,Research & Development,Research Scientist,1,3,"$2,321 ",LOW,"$8,284 ",50.50%,8284
889,Research & Development,Research Scientist,1,9,"$2,235 ",LOW,"$7,940 ",50.50%,7940
632,Research & Development,Research Scientist,1,2,"$2,515 ",LOW,"$9,060 ",50.50%,9060
1086,Research & Development,Research Director,4,32,"$14,411 ",LOW,"$53,644 ",50.50%,53644
602,Research & Development,Manufacturing Director,2,0,"$6,877 ",LOW,"$25,508 ",50.50%,25508
234,Research & Development,Laboratory Technician,1,5,"$2,436 ",LOW,"$8,744 ",50.50%,8744
1201,Research & Development,Laboratory Technician,1,5,"$3,989 ",LOW,"$14,956 ",50.50%,14956
122,Research & Development,Research Scientist,1,5,"$4,963 ",LOW,"$18,852 ",50.50%,18852
239,Research & Development,Laboratory Technician,1,3,"$3,730 ",LOW,"$13,920 ",50.50%,13920
435,Research & Development,Manager,3,7,"$13,610 ",LOW,"$51,440 ",50.50%,51440
38,Research & Development,Research Scientist,1,1,"$3,419 ",LOW,"$12,676 ",50.50%,12676
1122,Research & Development,Laboratory Technician,1,10,"$4,723 ",LOW,"$17,892 ",50.50%,17892
204,Research & Development,Healthcare Representative,2,1,"$6,673 ",LOW,"$24,692 ",50.50%,24692
989,Research & Development,Research Scientist,1,6,"$2,996 ",LOW,"$10,984 ",50.50%,10984
1402,Research & Development,Laboratory Technician,1,1,"$1,129 ",LOW,"$3,516 ",50.50%,3516
791,Sales,Sales Executive,3,8,"$9,582 ",LOW,"$35,328 ",50.50%,35328
829,Sales,Sales Executive,2,5,"$8,224 ",LOW,"$30,896 ",50.50%,30896
1413,Research & Development,Laboratory Technician,1,2,"$3,977 ",LOW,"$14,908 ",50.50%,14908
180,Research & Development,Research Scientist,1,4,"$3,929 ",LOW,"$14,716 ",50.50%,14716
229,Research & Development,Research Scientist,1,4,"$2,389 ",LOW,"$8,556 ",50.50%,8556
913,Sales,Manager,5,24,"$18,824 ",LOW,"$70,296 ",50.50%,70296
763,Sales,Sales Representative,1,1,"$2,220 ",NO,"$7,880 ",50.40%,7880
686,Research & Development,Laboratory Technician,1,18,"$4,721 ",NO,"$17,884 ",50.40%,17884
1186,Sales,Sales Executive,2,11,"$4,581 ",NO,"$16,324 ",50.40%,16324
1062,Research & Development,Manufacturing Director,3,2,"$10,209 ",NO,"$37,836 ",50.40%,37836
932,Research & Development,Laboratory Technician,1,7,"$3,339 ",NO,"$12,356 ",50.40%,12356
1406,Research & Development,Manufacturing Director,2,5,"$4,440 ",NO,"$15,760 ",50.40%,15760
1422,Research & Development,Laboratory Technician,1,2,"$2,660 ",NO,"$9,640 ",50.40%,9640
1142,Research & Development,Laboratory Technician,2,10,"$5,769 ",NO,"$21,076 ",50.40%,21076
779,Research & Development,Research Scientist,1,10,"$2,461 ",NO,"$8,844 ",50.40%,8844
1375,Research & Development,Research Scientist,1,4,"$2,432 ",NO,"$8,728 ",50.40%,8728
1084,Sales,Sales Executive,3,10,"$7,083 ",NO,"$25,332 ",50.40%,25332
416,Research & Development,Laboratory Technician,1,1,"$1,702 ",NO,"$5,808 ",50.40%,5808
1215,Research & Development,Research Scientist,1,5,"$4,930 ",NO,"$18,720 ",50.40%,18720
801,Sales,Sales Executive,2,0,"$4,728 ",NO,"$16,912 ",50.40%,16912
1102,Sales,Sales Representative,1,3,"$2,644 ",NO,"$9,576 ",50.40%,9576
691,Research & Development,Research Scientist,1,1,"$3,617 ",NO,"$13,468 ",50.40%,13468
1369,Sales,Sales Executive,2,2,"$9,854 ",NO,"$37,416 ",50.40%,37416
1317,Research & Development,Laboratory Technician,1,5,"$2,379 ",NO,"$8,516 ",50.40%,8516
1164,Research & Development,Manufacturing Director,3,4,"$7,945 ",NO,"$28,780 ",50.40%,28780
69,Research & Development,Research Scientist,1,1,"$3,388 ",NO,"$12,552 ",50.40%,12552
319,Sales,Sales Executive,2,13,"$5,228 ",NO,"$18,912 ",50.40%,18912
1349,Research & Development,Research Scientist,1,1,"$2,933 ",NO,"$10,732 ",50.40%,10732
1058,Sales,Sales Executive,2,15,"$4,599 ",NO,"$16,396 ",50.40%,16396
354,Sales,Sales Executive,2,2,"$4,736 ",NO,"$16,944 ",50.40%,16944
494,Sales,Sales Representative,1,8,"$2,579 ",NO,"$9,316 ",50.40%,9316
111,Research & Development,Laboratory Technician,2,9,"$6,074 ",NO,"$22,296 ",50.40%,22296
1007,Research & Development,Healthcare Representative,3,8,"$7,553 ",NO,"$27,212 ",50.40%,27212
612,Sales,Sales Executive,2,8,"$4,779 ",NO,"$17,116 ",50.40%,17116
830,Research & Development,Laboratory Technician,1,1,"$4,766 ",NO,"$18,064 ",50.40%,18064
440,Human Resources,Human Resources,3,3,"$9,950 ",NO,"$36,800 ",50.40%,36800
453,Human Resources,Human Resources,1,7,"$2,741 ",NO,"$9,964 ",50.30%,9964
859,Research & Development,Research Scientist,1,5,"$2,168 ",NO,"$7,672 ",50.30%,7672
585,Research & Development,Laboratory Technician,1,0,"$1,601 ",NO,"$5,404 ",50.30%,5404
369,Research & Development,Research Scientist,1,2,"$2,657 ",NO,"$9,628 ",50.30%,9628
171,Sales,Sales Representative,1,0,"$2,325 ",NO,"$8,300 ",50.30%,8300
293,Sales,Sales Executive,2,8,"$5,828 ",NO,"$21,312 ",50.30%,21312
192,Research & Development,Manufacturing Director,2,1,"$5,916 ",NO,"$21,664 ",50.30%,21664
860,Research & Development,Research Scientist,1,0,"$2,853 ",NO,"$10,412 ",50.30%,10412
1353,Research & Development,Research Scientist,1,5,"$2,307 ",NO,"$8,228 ",50.30%,8228
578,Research & Development,Manufacturing Director,2,15,"$5,980 ",NO,"$21,920 ",50.30%,21920
533,Sales,Sales Executive,3,18,"$10,475 ",NO,"$38,900 ",50.30%,38900
636,Research & Development,Research Scientist,1,10,"$2,022 ",NO,"$7,088 ",50.30%,7088
562,Research & Development,Research Scientist,1,10,"$2,686 ",NO,"$9,744 ",50.30%,9744
288,Research & Development,Laboratory Technician,1,3,"$2,373 ",NO,"$8,492 ",50.30%,8492
1281,Sales,Sales Executive,2,10,"$5,813 ",NO,"$21,252 ",50.30%,21252
634,Sales,Sales Executive,2,5,"$4,194 ",NO,"$14,776 ",50.30%,14776
327,Sales,Sales Executive,2,1,"$5,238 ",NO,"$18,952 ",50.30%,18952
624,Sales,Sales Executive,3,5,"$10,934 ",NO,"$40,736 ",50.30%,40736
887,Research & Development,Research Director,3,1,"$13,191 ",NO,"$49,764 ",50.30%,49764
673,Research & Development,Research Scientist,1,3,"$2,799 ",NO,"$10,196 ",50.30%,10196
857,Research & Development,Research Scientist,1,6,"$2,936 ",NO,"$10,744 ",50.30%,10744
91,Sales,Sales Executive,2,10,"$5,441 ",NO,"$19,764 ",50.30%,19764
350,Human Resources,Human Resources,1,3,"$2,696 ",NO,"$9,784 ",50.30%,9784
912,Research & Development,Research Scientist,1,8,"$2,875 ",NO,"$10,500 ",50.30%,10500
1165,Human Resources,Human Resources,2,10,"$5,743 ",NO,"$20,972 ",50.30%,20972
170,Research & Development,Research Scientist,1,5,"$3,058 ",NO,"$11,232 ",50.30%,11232
946,Sales,Sales Executive,3,5,"$9,094 ",NO,"$33,376 ",50.30%,33376
378,Sales,Sales Executive,2,5,"$5,304 ",NO,"$19,216 ",50.20%,19216
962,Human Resources,Manager,4,33,"$14,026 ",NO,"$52,104 ",50.20%,52104
1192,Research & Development,Laboratory Technician,1,2,"$2,587 ",NO,"$9,348 ",50.20%,9348
318,Research & Development,Research Scientist,1,4,"$2,478 ",NO,"$8,912 ",50.20%,8912
479,Research & Development,Laboratory Technician,1,6,"$2,886 ",NO,"$10,544 ",50.20%,10544
796,Research & Development,Laboratory Technician,1,7,"$3,691 ",NO,"$13,764 ",50.20%,13764
52,Sales,Sales Executive,2,4,"$5,454 ",NO,"$19,816 ",50.20%,19816
1204,Sales,Sales Representative,1,9,"$2,655 ",NO,"$9,620 ",50.20%,9620
1137,Research & Development,Research Scientist,1,4,"$2,814 ",NO,"$10,256 ",50.20%,10256
1250,Research & Development,Healthcare Representative,2,3,"$6,294 ",NO,"$23,176 ",50.20%,23176
290,Research & Development,Research Director,5,3,"$18,665 ",NO,"$69,660 ",50.20%,69660
54,Sales,Sales Executive,2,2,"$4,157 ",NO,"$14,628 ",50.20%,14628
652,Sales,Sales Executive,3,10,"$7,642 ",NO,"$27,568 ",50.20%,27568
346,Research & Development,Manufacturing Director,2,5,"$6,032 ",NO,"$22,128 ",50.20%,22128
753,Research & Development,Manufacturing Director,3,21,"$10,880 ",NO,"$40,520 ",50.20%,40520
320,Sales,Sales Executive,2,5,"$4,478 ",NO,"$15,912 ",50.20%,15912
924,Research & Development,Research Scientist,1,3,"$3,506 ",NO,"$13,024 ",50.20%,13024
48,Sales,Sales Executive,2,9,"$5,772 ",NO,"$21,088 ",50.20%,21088
528,Sales,Sales Executive,2,4,"$6,796 ",NO,"$25,184 ",50.20%,25184
215,Sales,Manager,3,1,"$13,591 ",NO,"$51,364 ",50.20%,51364
107,Sales,Sales Executive,2,6,"$5,744 ",NO,"$20,976 ",50.20%,20976
1200,Human Resources,Human Resources,1,2,"$3,195 ",NO,"$11,780 ",50.20%,11780
553,Research & Development,Research Scientist,1,4,"$2,342 ",NO,"$8,368 ",50.10%,8368
1236,Sales,Sales Executive,2,2,"$6,134 ",NO,"$22,536 ",50.10%,22536
1213,Sales,Sales Representative,1,3,"$2,275 ",NO,"$8,100 ",50.10%,8100
719,Sales,Sales Executive,2,9,"$4,163 ",NO,"$14,652 ",50.10%,14652
917,Sales,Sales Executive,2,3,"$4,538 ",NO,"$16,152 ",50.10%,16152
929,Research & Development,Laboratory Technician,1,2,"$3,867 ",NO,"$14,468 ",50.10%,14468
34,Research & Development,Research Scientist,1,2,"$2,293 ",NO,"$8,172 ",50.10%,8172
1196,Sales,Sales Executive,3,2,"$7,082 ",NO,"$25,328 ",50.10%,25328
450,Sales,Sales Executive,2,6,"$6,582 ",NO,"$24,328 ",50.10%,24328
3,Research & Development,Research Scientist,1,8,"$2,909 ",NO,"$10,636 ",50.10%,10636
575,Research & Development,Manufacturing Director,2,5,"$5,485 ",NO,"$19,940 ",50.10%,19940
931,Research & Development,Manufacturing Director,2,8,"$4,695 ",NO,"$16,780 ",50.10%,16780
309,Research & Development,Research Scientist,1,5,"$4,821 ",NO,"$18,284 ",50.10%,18284
542,Research & Development,Manufacturing Director,3,1,"$7,861 ",NO,"$28,444 ",50.10%,28444
725,Research & Development,Laboratory Technician,1,4,"$3,743 ",NO,"$13,972 ",50.10%,13972
132,Sales,Sales Executive,2,2,"$4,559 ",NO,"$16,236 ",50.10%,16236
1400,Human Resources,Human Resources,1,6,"$2,991 ",NO,"$10,964 ",50.10%,10964
655,Human Resources,Human Resources,1,4,"$2,277 ",NO,"$8,108 ",50.10%,8108
614,Research & Development,Research Scientist,1,8,"$2,366 ",NO,"$8,464 ",50.10%,8464
139,Human Resources,Human Resources,2,11,"$6,347 ",NO,"$23,388 ",50.10%,23388
164,Research & Development,Research Scientist,1,1,"$2,566 ",NO,"$9,264 ",50.10%,9264
892,Research & Development,Research Scientist,1,1,"$1,859 ",NO,"$6,436 ",50.10%,6436
1074,Research & Development,Healthcare Representative,2,0,"$6,388 ",NO,"$23,552 ",50.10%,23552
1450,Human Resources,Human Resources,3,9,"$8,837 ",NO,"$32,348 ",50.10%,32348
203,Research & Development,Laboratory Technician,2,7,"$2,741 ",NO,"$8,964 ",50.10%,8964
1028,Research & Development,Research Scientist,1,4,"$2,127 ",NO,"$7,508 ",50.10%,7508
256,Research & Development,Laboratory Technician,1,9,"$2,593 ",NO,"$9,372 ",50.10%,9372
882,Research & Development,Manufacturing Director,3,7,"$10,252 ",NO,"$38,008 ",50.10%,38008
996,Sales,Sales Executive,2,6,"$5,769 ",NO,"$21,076 ",50.10%,21076
1188,Sales,Sales Executive,2,10,"$4,187 ",NO,"$14,748 ",50.10%,14748
11,Research & Development,Laboratory Technician,2,9,"$4,193 ",NO,"$14,772 ",50.10%,14772
918,Sales,Manager,5,29,"$19,847 ",NO,"$74,388 ",50.10%,74388
568,Research & Development,Manager,5,5,"$19,859 ",NO,"$74,436 ",50.10%,74436
77,Research & Development,Research Director,3,0,"$13,245 ",NO,"$49,980 ",50.10%,49980
667,Research & Development,Laboratory Technician,1,7,"$2,778 ",NO,"$10,112 ",50.10%,10112
995,Research & Development,Research Scientist,2,20,"$4,081 ",NO,"$14,324 ",50.10%,14324
981,Sales,Sales Executive,2,4,"$4,614 ",NO,"$16,456 ",50.00%,16456
17,Research & Development,Laboratory Technician,1,1,"$2,935 ",NO,"$10,740 ",50.00%,10740
1419,Research & Development,Research Scientist,2,4,"$5,410 ",NO,"$19,640 ",50.00%,19640
895,Research & Development,Healthcare Representative,2,6,"$6,833 ",NO,"$25,332 ",50.00%,25332
1461,Sales,Sales Executive,3,3,"$10,854 ",NO,"$40,416 ",50.00%,40416
1011,Sales,Sales Executive,2,5,"$9,278 ",NO,"$35,112 ",50.00%,35112
195,Research & Development,Research Scientist,1,8,"$3,564 ",NO,"$13,256 ",50.00%,13256
79,Human Resources,Human Resources,2,4,"$5,021 ",NO,"$18,084 ",50.00%,18084
157,Research & Development,Research Scientist,1,1,"$3,346 ",NO,"$12,384 ",50.00%,12384
389,Research & Development,Manufacturing Director,2,1,"$4,197 ",NO,"$14,788 ",50.00%,14788
397,Sales,Sales Executive,2,5,"$4,487 ",NO,"$15,948 ",50.00%,15948
631,Research & Development,Laboratory Technician,1,3,"$2,818 ",NO,"$10,272 ",50.00%,10272
505,Research & Development,Laboratory Technician,1,3,"$2,659 ",NO,"$9,636 ",50.00%,9636
925,Research & Development,Research Scientist,2,1,"$2,372 ",NO,"$7,488 ",50.00%,7488
566,Sales,Sales Executive,2,5,"$6,397 ",NO,"$23,588 ",50.00%,23588
991,Sales,Sales Executive,2,3,"$4,078 ",NO,"$14,312 ",50.00%,14312
1359,Sales,Sales Executive,2,4,"$8,103 ",NO,"$30,412 ",50.00%,30412
854,Research & Development,Research Scientist,1,3,"$4,477 ",NO,"$16,908 ",50.00%,16908
1368,Research & Development,Research Scientist,2,15,"$5,747 ",NO,"$20,988 ",50.00%,20988
703,Sales,Sales Executive,2,5,"$5,666 ",NO,"$20,664 ",50.00%,20664
986,Sales,Sales Executive,2,5,"$6,120 ",NO,"$22,480 ",50.00%,22480
827,Research & Development,Research Scientist,1,3,"$2,703 ",NO,"$9,812 ",50.00%,9812
284,Research & Development,Healthcare Representative,2,5,"$4,741 ",NO,"$16,964 ",50.00%,16964
1303,Research & Development,Manufacturing Director,3,22,"$10,333 ",NO,"$38,332 ",50.00%,38332
406,Research & Development,Manufacturing Director,3,5,"$7,969 ",NO,"$28,876 ",50.00%,28876
1279,Research & Development,Research Scientist,1,5,"$2,342 ",NO,"$8,368 ",50.00%,8368
778,Research & Development,Research Scientist,2,16,"$4,615 ",NO,"$16,460 ",50.00%,16460
1123,Research & Development,Healthcare Representative,2,5,"$6,142 ",NO,"$22,568 ",50.00%,22568
283,Research & Development,Laboratory Technician,2,10,"$5,415 ",NO,"$19,660 ",50.00%,19660
985,Research & Development,Manufacturing Director,2,10,"$6,179 ",NO,"$22,716 ",50.00%,22716
422,Human Resources,Human Resources,1,1,"$2,564 ",NO,"$9,256 ",50.00%,9256
689,Research & Development,Laboratory Technician,1,1,"$2,973 ",NO,"$10,892 ",50.00%,10892
202,Research & Development,Research Scientist,1,5,"$3,815 ",NO,"$14,260 ",50.00%,14260
886,Research & Development,Research Scientist,1,11,"$3,579 ",NO,"$13,316 ",50.00%,13316
1379,Human Resources,Human Resources,1,1,"$2,863 ",NO,"$10,452 ",50.00%,10452
1126,Sales,Manager,5,1,"$19,331 ",NO,"$72,324 ",49.90%,72324
1034,Research & Development,Healthcare Representative,3,7,"$10,851 ",NO,"$40,404 ",49.90%,40404
1037,Research & Development,Manufacturing Director,3,3,"$9,380 ",NO,"$34,520 ",49.90%,34520
1278,Research & Development,Healthcare Representative,3,12,"$8,321 ",NO,"$30,284 ",49.90%,30284
1345,Research & Development,Manufacturing Director,2,3,"$4,788 ",NO,"$17,152 ",49.90%,17152
1145,Research & Development,Manufacturing Director,2,3,"$4,663 ",NO,"$16,652 ",49.90%,16652
294,Research & Development,Research Scientist,1,4,"$2,326 ",NO,"$8,304 ",49.90%,8304
93,Research & Development,Healthcare Representative,3,10,"$10,673 ",NO,"$39,692 ",49.90%,39692
1340,Sales,Sales Executive,2,10,"$5,673 ",NO,"$20,692 ",49.90%,20692
368,Sales,Sales Executive,2,6,"$6,380 ",NO,"$23,520 ",49.90%,23520
438,Research & Development,Healthcare Representative,3,8,"$7,632 ",NO,"$27,528 ",49.90%,27528
577,Research & Development,Research Scientist,1,5,"$2,782 ",NO,"$10,128 ",49.90%,10128
271,Research & Development,Manager,3,10,"$11,849 ",NO,"$44,396 ",49.90%,44396
342,Research & Development,Manufacturing Director,3,11,"$7,143 ",NO,"$25,572 ",49.90%,25572
1308,Sales,Sales Representative,2,4,"$5,405 ",NO,"$19,620 ",49.90%,19620
42,Research & Development,Laboratory Technician,1,1,"$2,293 ",NO,"$8,172 ",49.90%,8172
651,Sales,Sales Executive,2,7,"$4,537 ",NO,"$16,148 ",49.90%,16148
625,Sales,Sales Executive,3,5,"$10,761 ",NO,"$40,044 ",49.90%,40044
106,Research & Development,Research Director,5,8,"$18,172 ",NO,"$67,688 ",49.90%,67688
976,Research & Development,Manufacturing Director,4,19,"$13,402 ",NO,"$49,608 ",49.90%,49608
1057,Sales,Sales Executive,2,5,"$5,765 ",NO,"$21,060 ",49.90%,21060
1344,Research & Development,Research Scientist,2,5,"$4,284 ",NO,"$15,136 ",49.90%,15136
1459,Research & Development,Laboratory Technician,2,4,"$4,025 ",NO,"$14,100 ",49.90%,14100
1067,Sales,Sales Executive,2,5,"$4,591 ",NO,"$16,364 ",49.90%,16364
175,Research & Development,Research Scientist,1,2,"$4,257 ",NO,"$16,028 ",49.90%,16028
948,Research & Development,Manager,3,9,"$11,916 ",NO,"$44,664 ",49.90%,44664
1365,Sales,Sales Representative,1,1,"$1,091 ",NO,"$3,364 ",49.90%,3364
1378,Sales,Sales Executive,2,0,"$5,087 ",NO,"$18,348 ",49.90%,18348
749,Sales,Manager,5,32,"$19,845 ",NO,"$74,380 ",49.90%,74380
937,Research & Development,Manager,4,19,"$17,123 ",NO,"$64,492 ",49.90%,64492
1382,Research & Development,Research Scientist,1,4,"$3,065 ",NO,"$11,260 ",49.90%,11260
1261,Research & Development,Healthcare Representative,2,1,"$5,811 ",NO,"$21,244 ",49.90%,21244
16,Research & Development,Research Scientist,1,6,"$3,298 ",NO,"$12,192 ",49.90%,12192
1068,Research & Development,Laboratory Technician,1,0,"$2,561 ",NO,"$9,244 ",49.90%,9244
961,Research & Development,Research Scientist,2,9,"$4,249 ",NO,"$14,996 ",49.90%,14996
1116,Sales,Manager,5,36,"$19,586 ",NO,"$73,344 ",49.90%,73344
55,Research & Development,Research Director,3,15,"$13,458 ",NO,"$50,832 ",49.90%,50832
523,Research & Development,Laboratory Technician,1,20,"$3,221 ",NO,"$11,884 ",49.90%,11884
312,Research & Development,Research Scientist,1,2,"$2,695 ",NO,"$9,780 ",49.90%,9780
31,Research & Development,Healthcare Representative,2,4,"$6,465 ",NO,"$23,860 ",49.90%,23860
1433,Sales,Sales Executive,2,5,"$4,907 ",NO,"$17,628 ",49.80%,17628
644,Research & Development,Research Scientist,1,6,"$2,356 ",NO,"$8,424 ",49.80%,8424
451,Research & Development,Manufacturing Director,3,10,"$7,406 ",NO,"$26,624 ",49.80%,26624
1392,Sales,Sales Executive,2,10,"$5,204 ",NO,"$18,816 ",49.80%,18816
881,Research & Development,Research Scientist,2,8,"$4,998 ",NO,"$17,992 ",49.80%,17992
140,Research & Development,Laboratory Technician,1,5,"$4,200 ",NO,"$15,800 ",49.80%,15800
